Country Name,Year,"Incidence of malaria (per 1,000 population at risk)",Malaria cases reported,Use of insecticide-treated bed nets (% of under-5 population),Children with fever receiving antimalarial drugs (% of children under age 5 with fever),Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population)
Kenya,2007,78.02,0.0,0.0,0.0,0.0,0.0,0.0
Tanzania,2007,184.53,1845917.0,0.0,0.0,0.0,0.0,13.61
Uganda,2007,377.94,1045378.0,0.0,0.0,0.0,5.77,0.0
Kenya,2008,67.68,839903.0,0.0,0.0,0.0,0.0,0.0
Tanzania,2008,171.0,4508.0,26.0,56.7,7.0,0.0,15.02
Uganda,2008,410.46,979298.0,0.0,0.0,0.0,5.91,0.0
Kenya,2009,67.94,0.0,46.7,23.2,6.9,0.0,0.0
Tanzania,2009,157.11,211.0,0.0,0.0,0.0,0.0,16.3
Uganda,2009,433.79,1301337.0,32.8,59.6,17.0,6.05,0.0
Kenya,2010,67.71,898531.0,42.2,0.0,0.0,0.0,0.0
Tanzania,2010,145.46,1278998.0,63.6,59.1,2.7,0.0,17.55
Uganda,2010,417.35,1581160.0,0.0,0.0,0.0,6.19,0.0
Kenya,2011,67.86,1002805.0,0.0,0.0,0.0,0.0,0.0
Tanzania,2011,132.48,2150761.0,0.0,0.0,0.0,0.0,18.72
Uganda,2011,385.7,231873.0,42.8,64.5,10.3,6.32,0.0
Kenya,2012,73.36,1453471.0,0.0,0.0,0.0,0.0,0.0
Tanzania,2012,116.25,1986955.0,72.0,53.7,4.0,0.0,19.84
Uganda,2012,331.77,2662258.0,0.0,0.0,0.0,6.45,0.0
Kenya,2013,82.48,2375129.0,0.0,0.0,0.0,0.0,0.0
Tanzania,2013,111.78,1550250.0,0.0,0.0,0.0,0.0,20.96
Uganda,2013,254.24,1502362.0,0.0,0.0,0.0,6.58,0.0
Kenya,2014,83.87,2851555.0,54.1,27.0,10.3,0.0,0.0
Tanzania,2014,118.94,680442.0,0.0,0.0,0.0,0.0,22.07
Uganda,2014,220.62,3631939.0,0.0,0.0,0.0,6.71,0.0
Kenya,2015,72.17,1581168.0,56.1,27.1,22.9,0.0,0.0
Tanzania,2015,121.74,4241364.0,0.0,0.0,0.0,0.0,23.18
Uganda,2015,236.11,7137662.0,74.3,76.9,27.5,6.83,0.0
Kenya,2016,70.38,2931406.0,0.0,0.0,0.0,0.0,0.0
Tanzania,2016,123.57,5188863.0,54.4,51.1,8.0,0.0,24.28
Uganda,2016,304.41,9385132.0,62.0,71.5,17.2,6.95,0.0
Kenya,2017,70.1,3419883.0,0.0,0.0,0.0,0.0,0.0
Tanzania,2017,123.96,5354819.0,54.6,36.2,25.8,0.0,25.38
Uganda,2017,336.76,11667831.0,0.0,0.0,0.0,7.07,0.0
